"","X","Y","EGFR","E-Cadherin","DNA1","DNA2","Rabbit IgG H L","GATA3","Histone H3 antibody 1","Ki-67","SMA","Vimentin","cleaved PARP","Cleaved Caspase3","Her2","p53","pan Cytokeratin","Cytokeratin 19","Progesterone Receptor A/B antibody 1","Progesterone Receptor A/B antibody 2","c-Myc","Fibronectin","Cytokeratin 14","Slug","CD20","vWF","CD31","Histone H3 antibody 2","Cytokeratin 5","CD44","CD45","CD68","CD3","Carbonic Anhydrase IX","Cytokeratin 8/18","Cytokeratin 7","Twist","phospho Histone","phospho mTOR","phospho S6"
"BaselTMA_SP41_83_X14Y2_11",161.161616161616,26.9090909090909,0.0291034590797903,0.0902654942854224,0.459911326073349,0.745974021703379,0.00718495583463299,0.0132262346512139,1.21210620464006,0.000488299814498455,0.0357144392522896,0.609094456971629,0.0500677026097456,0.0500677026097456,0.0471364848492062,0.000840377753361281,0.00848479392020037,0.0190427251537046,0.0607211838165069,0.0607211838165069,0.012266536655174,0.175193107909532,0.0170768072309454,0.00775204350643021,0,4.26702106012208e-05,4.26702106012208e-05,0.0832472489891492,0.0120239595763751,1.74696594451099,0.0116197069586586,0.0125109807643431,0.0176976346737302,0.051009046673909,0.00238975178841889,0,0.0157200837424549,0.033880335131782,0.0617007864023966,0.0220055096803699
"BaselTMA_SP41_83_X14Y2_12",144.444444444444,27.8333333333333,0.149081187274228,0.705918742028696,0.578414500844323,0.982068252434229,0.00797661069822108,0.0543073980606209,1.2332152272661,0.0282820344887995,2.16329431413244,0.665105986695403,0.114278376154265,0.114278376154265,0.36286853758647,0.0200001861124973,1.15573016759604,0.171704100264453,0.197037663317763,0.197037663317763,0.0948893601896622,0.441553854849777,0.117973460261935,0.0318247939529959,0.0234762317701827,0.0124286166052402,0.0124286166052402,0.129871651699838,0.19507594695236,2.5413166502141,0.0136648770920713,0.0465045278055863,0.0119979310042926,0.130247087138553,0.128953026849985,0.0781782215721479,0.0209038718039114,0.111361480063023,0.139153291349791,0.0303745955599898
"BaselTMA_SP41_83_X14Y2_13",127.3,32.1333333333333,0.13877958071999,0.317137228819986,0.69921075166796,1.22317911423697,0.0149309732022429,0.00614793439246715,1.42325820583819,0,1.74886422053967,0.5815852920727,0.121189361008657,0.121189361008657,0.198189294712574,0.0160517075993328,0.29993808050175,0.0724205903216211,0.129288400793539,0.129288400793539,0.0802084679572659,0.287681426408599,0.0390479456592762,0.0244925044254503,0.00433103341388506,0.00690980099626234,0.00690980099626234,0.161760274737916,0.0495158286150538,2.67844424327221,0.00213473965872607,0.0331559757800767,0.0133368920726674,0.0790963703371415,0.0566450933426571,0.0203384463362986,0.0119067279494085,0.0666436767889392,0.12360831330412,0.0318066911913141
"BaselTMA_SP41_83_X14Y2_14",149.933333333333,29.3333333333333,0.094694599416643,0.0792027007041591,0.323741798187096,0.421439970287663,0.00220728451310562,0.0122369528573533,1.06146776477919,0,0.167880070817481,0.53245644860872,0.180492441142097,0.180492441142097,0.0944769679892787,0.0242851097148314,0.096795598121012,0.0235026456361455,0.115056003863158,0.115056003863158,0.026855517814659,0.414064981448176,0.0197875345484455,0.0208548281977403,0.0250050830300339,0,0,0.134157208186012,0.0306939668241678,3.00210773878885,0,0.0439357808051439,0.0248380373067352,0.0908350268501576,0,0,0.0122318629104436,0.0964506634709914,0.0409154510279767,0.025424126581988
"BaselTMA_SP41_83_X14Y2_15",309.469565217391,32.0521739130435,0.16958473893772,0.786315185195954,1.14963026498338,1.66612981559302,0.0207027157160921,0.0445693531577603,0.518169421738007,0.0188012246321139,2.58461390608236,0.515740128511032,0.174876388467967,0.174876388467967,0.534182656456331,0.00695044661329197,0.375571098767769,0.242326697025635,0.316136794672276,0.316136794672276,0.0963002003180573,0.336563899057989,0.0555828667203002,0.0362525086844561,0,0.0282787501215518,0.0282787501215518,0.158636429048488,0.122463090946217,2.4034493892097,0.023525841370135,0.131646067104123,0,0.123840476298601,0.200731711830612,0.069346739382456,0.0500858754749066,0.18592042745834,0.159533860557164,0.0292884675746564
"BaselTMA_SP41_83_X14Y2_16",361.633333333333,31.6333333333333,0,0.0135951938009554,0.168067660886106,0.394649003105599,0,0,1.30065151783917,0.0162316031540532,0.0383192247826949,0.0475665291969788,0,0,0.00639377351121326,0.0131977420528101,0.075233996736085,0.00616127598096628,0.0162139948519373,0.0162139948519373,0.00535184542075468,0.665076078976849,0,0,0.00979818080997887,0.0119427463882963,0.0119427463882963,0.121851567866382,0.00627282736631396,0.0979782849294284,0,0.0148031320110233,0,0,0,0.00584181672482077,0.0219344952238969,0.0338357489439933,0.0127483469446025,0.0057731043103274
"BaselTMA_SP41_83_X14Y2_17",138.225,33.225,0.120169494103702,0.831210406265201,1.50736582422084,2.09515756489566,0.0264831832738272,0.0427563663107379,1.25741447400483,0.00514937204880464,0.356275332663464,0.166009888734135,0.474905137658296,0.474905137658296,0.492582585521805,0.0251025681540689,1.99942772466098,0.74506571730294,0.146646810810078,0.146646810810078,0.0261471501315122,0.112979707729589,0.0171116209389242,0.0588512462805013,0.029041525949315,0.013022406681772,0.013022406681772,0.422419848573057,0.646006001297928,1.26571884557317,0.00520905065687449,0.020815769938378,0.00817230126781476,0.127979111319788,0.0594620264169743,0.339767174556399,0.0194807843522467,0.149219168975852,0.199139729446624,0.0234619849368142
"BaselTMA_SP41_83_X14Y2_18",145.803921568627,35.2352941176471,0.23264358083332,1.07723193473724,1.1916441919045,1.73852146645507,0.0162709882381175,0.0706434809795141,0.580566253163707,0.0255296801694509,1.47469261801134,0.114978524121226,0.423020118419894,0.423020118419894,0.746497131663619,0.0478588475991961,2.2205254280546,0.778151803081595,0.193285890404233,0.193285890404233,0.0820102658015148,0.0996240996631357,0.0274614828856715,0.0571294300027718,0.00842411935344215,0.00121255422438102,0.00121255422438102,0.189899709461631,0.822027582485004,1.75030618756922,0.00327951917630536,0.0600499005814218,0.020627795898528,0.208555728968341,0.215573847442809,0.344684502796142,0.0729750629628672,0.2269998965873,0.347299531857124,0.0154272005571337
"BaselTMA_SP41_83_X14Y2_19",349.43137254902,33.0294117647059,0.0779742322347119,0.12667638805166,0.649082360114592,1.10429800791548,0.0264793349622887,0.0139950119957533,0.973184094231182,0,0.0909358896588286,0.592793328789844,0.108483017033806,0.108483017033806,0.0550882015823659,0.00605717327584965,0.0305844717090604,0.0157566637058818,0.202591872122082,0.202591872122082,0,1.15649350596284,0.0133905372313457,0.0152408321868968,0.00853171418874446,0.00913544987328065,0.00913544987328065,0.126067749382564,0.032127471633598,1.26633535370485,0.0103479665834678,0,0.0231651438538651,0.0766556239554945,0.00872440501924239,0.00183612020067649,0.015673900878597,0.177224417769717,0.100052202801679,0.1421412294878
"BaselTMA_SP41_83_X14Y2_20",155.34328358209,34.3582089552239,0.19506642319496,0.563761701252201,0.781293937757265,1.29191422325827,0.0185265138936738,0.0115465798133322,1.62544263057922,0.0139164415557777,1.98645615585084,0.92539356823438,0.130017586262165,0.130017586262165,0.383315297279492,0.0112953615941613,0.841689713214412,0.268509939119224,0.201176854979725,0.201176854979725,0.0825884704217869,0.402936569901219,0.0621402617523885,0.0389376926594122,4.41734785452777e-05,0.0210786437821285,0.0210786437821285,0.189423394434255,0.0886796726500219,2.69452984481235,0.0167155812116842,0.060849335232541,0,0.0725268738934971,0.210986661146538,0.0406116955444655,0.0427640637810847,0.108580974182957,0.156197004166831,0.0192972817208977
