,B220,B7-H1,C-kit,CCR7,CD11b,CD11c,CD138,CD14,CD16,CD19,CD1a,CD2,CD223,CD24,CD26,CD27,CD28,CD3,CD34,CD366,CD4,CD44,CD45,CD45RA,CD45RO,CD5,CD56,CD62L,CD66b,CD69,CD7,CD77,CD8,CTLA4,EpCAM,"HLA-A,B,C",IL7Ralpha,IgG1,IgG2a,LAMP1,MHCII,Ox40,PD-1,PD-L1,PD1,PECAM,Siglec-8,TCRb,TCRg
0,1.0429169,0.0,0.0,2.3211524,1.5422213,1.0429169,0.0,0.0,1.0429169,0.0,0.0,5.561008,0.0,1.5422213,0.0,5.366667,2.629178,2.4869788,1.0429169,0.0,6.219859,2.1222527,0.0,2.4869788,1.5422213,4.2858157,1.0429169,1.5422213,1.5422213,0.0,3.5285542,3.7238748,0.0,0.0,0.0,3.5285542,1.0429169,0.0,0.0,0.0,1.0429169,0.0,1.5422213,1.0429169,0.0,2.4869788,1.0429169,1.0429169,0.0
1,0.0,0.0,0.66932744,3.249444,1.0667248,1.9047221,0.0,0.0,1.3503485,0.66932744,0.66932744,5.3133035,0.0,1.3503485,1.3503485,5.9383554,1.9047221,2.2592924,0.0,0.0,5.8815,2.2592924,0.66932744,1.7517387,1.3503485,4.1720133,0.66932744,1.5710491,2.3541555,0.0,4.429677,3.3873587,0.66932744,0.66932744,0.0,2.9499786,2.6631174,0.0,0.66932744,1.0667248,0.66932744,0.0,1.5710491,0.66932744,1.0667248,1.3503485,0.66932744,1.3503485,1.0667248
2,0.0,0.0,1.1482462,1.1482462,0.0,2.009284,0.0,0.0,0.0,0.0,1.1482462,5.905231,0.0,0.0,0.0,5.4893417,2.009284,1.1482462,1.1482462,1.1482462,6.1395,2.633036,0.0,1.1482462,0.0,3.3667634,0.0,1.1482462,1.1482462,0.0,3.438404,2.633036,0.0,0.0,0.0,3.014256,3.3667634,0.0,0.0,1.1482462,1.6687096,1.1482462,1.6687096,1.1482462,1.1482462,0.0,0.0,1.6687096,0.0
3,0.0,1.2804737,0.0,1.2804737,2.174187,2.433032,0.0,0.0,1.8240149,0.0,1.2804737,5.402043,0.0,1.2804737,0.0,5.5437613,1.2804737,1.2804737,1.8240149,0.0,6.098786,2.8088038,2.174187,1.2804737,2.433032,3.5489986,1.8240149,0.0,2.174187,1.2804737,1.8240149,3.9193666,0.0,1.8240149,0.0,3.8664017,2.433032,0.0,0.0,1.8240149,1.2804737,1.2804737,3.081302,2.8088038,3.193972,2.9543061,0.0,0.0,0.0
4,0.0,1.2987038,1.8451561,2.1965168,0.0,1.2987038,2.1965168,0.0,0.0,1.2987038,0.0,4.9191904,0.0,0.0,0.0,5.7107363,2.8324637,2.4560077,0.0,0.0,6.100271,1.8451561,0.0,1.8451561,1.2987038,4.173603,0.0,0.0,1.2987038,0.0,4.957381,2.6618469,1.2987038,0.0,0.0,3.4957352,3.1053195,0.0,0.0,0.0,2.1965168,0.0,1.2987038,0.0,1.2987038,2.6618469,0.0,0.0,0.0
5,0.0,0.0,1.0524931,2.7071087,1.5538341,2.2398083,0.0,0.0,1.5538341,0.0,0.0,5.341968,0.0,1.0524931,0.0,6.0976667,1.5538341,2.018463,0.65875876,0.0,5.7413564,2.7071087,0.65875876,1.0524931,1.5538341,4.5157056,1.3342578,1.3342578,1.0524931,1.3342578,3.956644,3.620689,0.0,1.7337704,0.0,2.8243904,1.3342578,0.0,0.0,0.0,1.0524931,0.0,1.3342578,1.0524931,1.5538341,0.65875876,1.5538341,0.65875876,0.0
6,0.6010492,0.6010492,0.0,2.708619,1.9122382,0.97382843,1.244758,0.0,1.4577137,0.6010492,0.0,5.0907407,0.0,0.0,0.0,6.218622,2.223576,1.4577137,1.244758,0.0,5.712397,1.6331853,0.6010492,2.0271282,0.6010492,3.8705716,0.6010492,0.0,2.460649,2.0271282,3.7807665,3.4496436,1.244758,0.6010492,0.6010492,4.099834,0.0,0.0,0.6010492,1.244758,0.0,0.0,1.9122382,1.7824142,2.460649,1.6331853,1.244758,0.6010492,0.6010492
7,1.413805,0.71157146,1.638756,3.1259265,1.638756,1.9772898,1.1231034,0.71157146,1.413805,1.8222806,0.71157146,5.4568915,0.0,1.413805,0.0,5.4208455,3.0793288,2.335508,1.9772898,0.71157146,6.1186523,3.1704493,0.0,0.0,0.71157146,3.5618205,1.413805,1.8222806,2.1114645,1.638756,0.71157146,3.9676375,1.413805,0.71157146,0.71157146,4.024835,3.030453,0.0,1.413805,0.0,1.1231034,0.0,2.1114645,1.638756,2.335508,1.8222806,1.1231034,1.413805,1.413805
8,0.0,0.6520199,1.5427971,2.754337,1.5427971,2.0063193,0.6520199,0.6520199,1.0433912,1.3239512,1.3239512,5.3928113,0.0,0.6520199,1.0433912,5.8616314,2.754337,2.1228974,1.5427971,0.0,5.8900137,2.4081655,1.0433912,1.0433912,1.0433912,3.9065871,1.3239512,0.6520199,2.321813,1.7222432,3.4449162,4.3358774,0.0,1.3239512,0.0,3.4151413,2.6298578,0.0,0.6520199,0.6520199,1.0433912,0.0,1.8743349,1.3239512,2.1228974,1.5427971,0.0,1.0433912,0.6520199
9,1.4094427,0.0,1.1192148,2.8014412,0.70863867,1.4094427,1.6341105,0.0,2.2246013,0.0,1.972322,5.160466,0.0,1.4094427,0.0,5.865469,2.7367764,2.1063962,1.817447,0.0,5.9629116,2.513127,0.0,0.70863867,0.0,4.107771,1.4094427,1.817447,2.3302994,0.70863867,2.8621774,3.9013166,1.1192148,2.513127,1.1192148,3.9619784,2.4258857,0.0,0.70863867,0.70863867,1.6341105,0.70863867,2.1063962,1.4094427,2.3302994,1.817447,0.70863867,1.1192148,0.70863867
10,0.0,0.8517237,1.3049124,2.4638078,2.0436091,1.6156286,0.8517237,0.0,0.0,1.3049124,0.8517237,5.5143867,0.0,0.0,0.0,5.35003,2.8404925,2.8404925,0.8517237,0.0,6.205518,3.1714745,0.8517237,1.6156286,1.3049124,3.8434277,0.8517237,0.0,1.6156286,0.8517237,2.3423617,3.6538513,0.8517237,0.0,0.0,4.182001,2.2041006,0.0,0.0,1.3049124,1.3049124,0.0,2.0436091,1.6156286,2.8404925,0.0,0.0,1.3049124,0.0
11,1.4913462,1.0011966,1.0011966,2.6927533,1.4913462,2.0651076,1.4913462,0.0,1.0011966,1.8188248,1.4913462,5.41521,0.0,0.0,0.0,5.682427,2.8029861,2.427385,1.0011966,0.0,5.9967456,2.568846,0.0,2.427385,1.4913462,4.086518,1.0011966,1.4913462,2.0651076,1.8188248,2.9022655,3.4653502,0.0,1.4913462,1.4913462,3.8603399,1.4913462,0.0,1.4913462,1.0011966,2.427385,0.0,2.262563,0.0,3.075395,2.568846,1.0011966,0.0,0.0
12,0.978759,0.978759,0.6046306,2.659505,0.978759,1.7889981,0.0,0.0,1.4637884,0.6046306,0.978759,5.240212,0.0,1.6395557,0.6046306,5.9675307,2.3161263,2.3161263,0.6046306,0.978759,5.8310184,2.2306335,1.2503965,1.6395557,0.6046306,4.0220966,1.2503965,0.978759,2.0340004,0.0,4.3052897,3.625549,0.978759,1.6395557,1.2503965,3.1177273,2.4678864,0.0,0.0,0.6046306,0.6046306,0.6046306,1.6395557,0.978759,2.599621,3.2864542,1.2503965,0.978759,0.0
13,0.64749074,0.0,0.64749074,2.6210651,0.0,1.3170034,0.0,0.0,1.0372617,1.3170034,0.64749074,5.8094034,0.0,0.64749074,1.3170034,5.972838,2.114558,1.3170034,0.64749074,0.0,5.8039255,2.907123,0.0,1.3170034,1.0372617,2.8023043,0.64749074,1.0372617,1.5353523,1.8663166,2.7454643,3.4059756,1.5353523,0.0,1.0372617,3.242201,2.6210651,0.0,0.0,1.0372617,0.0,0.0,2.114558,0.0,2.3995433,1.8663166,1.0372617,0.64749074,0.0
14,1.0907071,1.2906561,1.0907071,2.1866703,0.0,1.2906561,0.0,0.50609004,0.50609004,1.0907071,1.4572102,6.743125,0.0,0.0,3.1804569,1.4572102,3.0947342,1.5999442,0.84052587,0.0,0.84052587,3.4849885,0.50609004,1.7248268,0.50609004,2.8974912,1.4572102,0.50609004,2.1866703,1.4572102,3.718107,3.8385205,4.697757,1.2906561,0.50609004,2.8220348,3.0947342,0.0,0.0,0.0,1.7248268,0.50609004,1.2906561,1.0907071,2.0265584,1.8358308,0.84052587,1.2906561,0.0
15,0.68722415,0.0,1.3773966,2.553987,1.0907071,1.3773966,0.68722415,0.0,1.0907071,1.0907071,0.0,5.4812293,0.0,0.0,0.0,6.1764073,2.6969655,1.7818682,1.0907071,0.0,5.6476426,2.3871,0.0,1.7818682,0.0,3.4849885,1.3773966,0.68722415,2.553987,1.3773966,3.1666706,3.958636,1.5999442,1.3773966,1.0907071,2.9844484,2.6280293,0.0,0.68722415,1.3773966,1.5999442,1.0907071,1.7818682,1.0907071,1.7818682,1.0907071,0.0,1.3773966,0.0
16,0.0,0.0,0.0,3.141305,1.1673307,2.0334253,1.1673307,0.0,2.0334253,1.691351,0.0,5.4141154,0.0,1.1673307,0.0,5.8344135,2.8029861,2.0334253,1.1673307,0.0,5.9732304,2.2878385,1.1673307,0.0,1.691351,3.46535,1.1673307,1.1673307,2.2878385,2.4904761,2.4904761,3.46535,1.1673307,1.1673307,0.0,3.6539738,1.691351,0.0,0.0,0.0,0.0,0.0,2.0334253,1.691351,3.6539738,2.8029861,1.1673307,1.1673307,0.0
17,0.0,0.0,0.7319379,3.1171582,1.4439304,1.1500058,0.0,0.0,1.6708007,1.1500058,1.1500058,5.369069,0.0,0.7319379,0.7319379,5.853558,2.1463687,1.1500058,2.1463687,0.7319379,5.884055,1.8555992,0.7319379,1.4439304,1.4439304,4.5060763,1.6708007,0.7319379,2.37136,1.1500058,3.9031792,3.7879152,1.4439304,1.4439304,0.0,3.068193,2.0115151,0.0,0.0,0.7319379,1.8555992,1.1500058,1.8555992,0.0,1.1500058,2.37136,1.6708007,1.1500058,0.7319379
18,1.3762201,0.0,0.0,3.3881938,1.0896624,1.5986885,1.0896624,0.0,1.9343884,0.6864423,1.3762201,5.3665047,0.0,0.6864423,0.6864423,6.1286116,2.290484,2.290484,1.0896624,0.0,5.659915,2.47258,0.0,1.0896624,0.6864423,3.7710426,1.3762201,0.0,2.47258,1.3762201,3.9570925,3.513304,0.6864423,1.3762201,1.0896624,3.7710426,1.7805597,0.0,1.0896624,0.0,1.0896624,0.0,1.3762201,1.9343884,0.6864423,1.3762201,0.0,0.0,0.0
19,0.0,0.684108,1.5949358,2.9784875,1.7766485,2.063569,1.0865419,1.0865419,1.5949358,1.0865419,0.0,5.470853,0.0,0.0,1.3727049,5.759548,2.8161302,2.468272,1.5949358,0.0,5.978337,2.3813992,0.0,1.0865419,0.0,3.914024,1.0865419,1.7766485,2.3813992,0.684108,3.6458707,3.349767,1.3727049,1.5949358,0.0,3.9334354,1.3727049,0.0,0.684108,0.684108,0.684108,0.0,0.684108,1.0865419,1.9303641,1.7766485,1.0865419,1.9303641,1.0865419
20,0.7497865,0.0,1.4700941,3.1007414,1.4700941,1.6985823,0.7497865,0.7497865,0.0,1.4700941,0.0,6.04221,0.0,1.6985823,0.0,2.4023337,1.4700941,0.0,1.1734402,0.0,1.1734402,2.4023337,0.0,2.9372962,1.1734402,3.1965284,1.1734402,0.7497865,2.586412,1.1734402,3.8212647,4.2194033,6.287969,1.6985823,0.7497865,2.4023337,0.7497865,0.0,0.7497865,1.6985823,1.1734402,1.1734402,1.6985823,1.6985823,2.041128,1.8844512,1.8844512,0.0,0.0
21,0.0,1.1547279,0.7355264,2.8506315,1.6764085,1.4492083,0.7355264,0.7355264,1.6764085,1.4492083,0.7355264,5.3243604,0.0,0.0,0.7355264,5.6958723,3.41239,2.2713668,1.4492083,0.7355264,6.0017147,2.2713668,0.0,2.1524668,1.1547279,3.9314861,0.7355264,0.0,2.2713668,1.6764085,2.1524668,3.6070495,2.4736605,0.0,2.017497,4.0327454,0.0,0.0,1.1547279,1.6764085,2.4736605,0.7355264,1.6764085,1.4492083,3.5771253,1.4492083,0.0,2.017497,0.0
22,0.0,0.0,0.0,2.031894,1.1661173,2.031894,0.0,0.0,1.1661173,0.0,1.1661173,5.7376394,0.0,0.0,0.0,5.9486737,2.031894,1.1661173,1.6899139,0.0,5.8455224,3.0390582,0.0,1.6899139,1.6899139,3.9477503,0.0,2.031894,0.0,0.0,2.031894,3.530546,2.031894,1.1661173,0.0,3.2309854,2.4888601,0.0,0.0,0.0,0.0,0.0,0.0,2.2862554,1.1661173,1.1661173,0.0,1.1661173,0.0
23,0.0,0.0,1.8900051,3.1560473,2.1391878,1.0554035,0.0,0.0,0.0,1.5573587,1.0554035,6.1979933,0.0,1.0554035,0.0,1.0554035,0.0,1.5573587,2.1391878,0.0,0.0,2.3384995,0.0,2.9822083,1.5573587,4.0131507,2.3384995,1.0554035,1.5573587,1.5573587,3.5472126,3.9430299,6.122869,1.8900051,0.0,3.3706355,1.0554035,0.0,0.0,1.8900051,1.0554035,0.0,1.5573587,1.0554035,2.1391878,1.5573587,1.0554035,0.0,0.0
24,0.0,0.0,1.3127689,1.3127689,0.0,1.8614255,0.0,0.0,0.0,0.0,0.0,5.577825,0.0,0.0,0.0,6.1372876,1.3127689,2.4736605,0.0,0.0,5.907324,2.679805,0.0,1.8614255,0.0,3.5144486,0.0,1.3127689,1.3127689,1.3127689,2.4736605,2.213683,1.3127689,1.8614255,0.0,2.4736605,0.0,0.0,1.3127689,1.3127689,1.3127689,0.0,1.3127689,2.213683,1.8614255,2.213683,1.3127689,1.3127689,1.3127689
25,0.0,0.0,0.8114839,2.7735229,0.0,0.8114839,0.8114839,0.8114839,1.2534748,1.2534748,1.2534748,5.5264454,0.0,0.8114839,1.2534748,5.6913524,2.8487508,1.7925899,1.5589314,0.0,5.9600644,2.8487508,0.8114839,0.0,1.2534748,4.4406905,1.2534748,1.5589314,2.6036124,1.2534748,3.9079869,3.7145443,0.0,0.0,0.0,3.3508656,1.9818606,0.0,0.0,0.8114839,0.8114839,0.0,1.2534748,0.0,1.5589314,1.7925899,0.0,0.8114839,1.5589314
26,0.0,0.0,0.0,1.1153558,1.8126456,0.0,0.70573103,0.0,0.0,1.4051113,0.0,6.45146,0.0,0.0,0.0,1.8126456,1.1153558,1.6294968,0.0,0.0,1.6294968,2.1013606,0.0,2.1013606,0.70573103,3.7620926,0.0,0.0,1.8126456,1.1153558,2.6623027,2.588059,6.127515,1.1153558,0.0,3.2821574,1.1153558,0.0,1.1153558,0.0,1.8126456,0.0,0.0,0.0,1.6294968,1.1153558,1.1153558,1.1153558,0.70573103
27,0.0,0.0,0.6040306,2.6582747,0.6040306,1.6384896,0.0,0.0,0.97793347,0.6040306,0.6040306,5.566266,0.0,0.0,0.0,5.627785,1.9178553,2.7147691,1.6384896,0.0,6.009904,3.3742456,0.0,1.2494528,0.6040306,3.1874008,0.97793347,1.7878966,1.7878966,1.7878966,3.6242616,3.7291672,1.6384896,1.2494528,0.97793347,3.7682304,1.6384896,0.0,0.6040306,1.7878966,3.5790107,0.6040306,1.4627718,0.6040306,1.7878966,2.1359756,0.6040306,1.2494528,0.0
28,0.92510563,0.0,1.397301,2.958322,0.92510563,2.3157785,1.1888192,0.56592005,0.56592005,1.397301,0.0,5.0850325,0.0,0.92510563,1.1888192,5.967854,2.4557304,1.5697271,2.0604634,0.56592005,5.7750807,2.687794,0.0,2.738274,1.8449007,4.2735953,0.92510563,1.397301,2.9180167,1.1888192,4.0486317,3.6842296,0.0,1.7167492,0.0,3.82653,2.958322,0.0,0.0,1.1888192,0.56592005,0.0,1.5697271,1.7167492,1.9584792,2.0604634,0.56592005,0.56592005,0.0
